"","Ctenophthalmus.agyrtes","Megabothris.turbidus","Palaeopsylla.soricis","Amalaraeus.penicilliger","Peromyscopsylla.bidentata","Doratopsylla.dasycnema","Ctenophthalmus.assimilis","Peromyscopsylla.silvatica","Leptopsylla.segnis","Ctenophthalmus.solutus","Amalaraeus.arvicolae","Ctenophthalmus.uncinatus","Ctenophthalmus.congener","Hystrichopsylla.talpae","Hystrichopsylla.orientalis","Rhadinopsylla.integella","Ctenophthalmus.obtusus","Peromyscopsylla.fallax","Ceratophyllus.sciurorum","Nosopsyllus.fasciatus","Amphipsylla.rossica","Atyphloceras.nuperus","Rhadinopsylla.pentacantha","Palaeopsylla.kohauti","Ctenophthalmus.bisoctodentatus"
"Clethrionomys glareolus",850,306,5,458,344,9,21,172,4,5,2,95,69,13,16,67,64,43,2,2,0,9,3,0,0
"Sorex araneus",53,4,466,2,9,280,16,1,1,6,0,2,1,17,9,1,0,0,0,0,0,0,0,9,2
"Apodemus flavicollis",313,158,8,3,1,4,6,2,19,84,0,3,2,8,13,4,2,0,3,5,0,1,1,0,0
"Apodemus agrarius",271,62,5,0,1,0,5,0,150,28,0,2,1,23,15,3,0,3,0,13,0,0,0,0,1
"Microtus arvalis",240,85,0,28,31,3,132,8,2,2,2,2,3,5,9,4,0,0,0,1,12,0,0,0,0
"Microtus subterraneus",215,15,5,25,52,0,2,8,1,1,151,1,12,4,4,3,0,11,0,0,0,1,7,0,0
"Microtus agrestis",226,36,1,31,72,1,39,36,2,2,13,1,3,18,15,5,1,6,0,0,1,1,0,0,0
"Apodemus sylvaticus",115,37,1,3,0,1,1,0,25,16,0,3,3,1,1,3,0,0,0,4,1,0,0,0,0
"Neomys fodiens",20,2,87,0,3,22,2,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,1,0,1
"Apodemus uralensis",26,14,0,3,2,1,10,0,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Sorex alpinus",12,0,35,0,2,26,1,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"Neomys anomalus",13,5,50,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myoxus glis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
"Sorex minutus",1,0,10,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crocidura suaveolens",0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muscardinus avellanarius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Microtus tatricus",0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Talpa europaea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Arvicola terrestris",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista betulina",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Micromys minutus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
